Cobalt Dragoon,5-60,Elevate,10
Shark Scale,1-60,Low Orb,9
Wizard Rod,9-60,Free Ball,8
Hover Wyvern,1-70,High Needle,7
Dran Buster,3-60,Taper,6
Scorpio Spear,4-55,Low Orb,5
Knight Mail,3-60,Hexa,5
Hells Chain,5-60,High Taper,4
Aero Pegasus,7-60,Level,4
Weiss Tiger,3-60,Unite,4
Wizard Rod,9-60,Ball,3
Unicorn Sting,5-60,High Needle,3
Scorpio Spear,3-60,Freeball,3
Fang Jaggy,9-70,Gear Ball,3
Hover Wyvern,7-60,Low Rush,2
Dran Sword,3-60,Flat,2
Scorpio Spear,1-60,Under Needle,2
Viper Tail,5-80,Orb,2
Knight Shield,3-80,Needle,1
Phoenix Wing,9-60,Point,1
Shark Edge,3-60,Low Rush,1
Shark Scale,3-60,Low Rush,1
Tyranno Beat,1-60,Kick,1
Brave Slash,1-60,Rush,1
Aero Pegasus,1-60,Rush,1
